team,odds_american,odds_decimal,implied_probability,normalized_probability
Spain,450,5.5,0.15127963385092275,0.15127963385092275
France,500,6.0,0.13867299769667912,0.13867299769667912
England,700,8.0,0.1040047482725093,0.1040047482725093
Portugal,800,9.0,0.09244866513111938,0.09244866513111938
Brazil,900,10.0,0.08320379861800736,0.08320379861800736
Argentina,950,10.5,0.07924171296953086,0.07924171296953086
Germany,1300,14.0,0.059431284727148155,0.059431284727148155
Netherlands,1600,17.0,0.04894341095176904,0.04894341095176904
Belgium,2200,23.0,0.03617556461652483,0.03617556461652483
Norway,3300,34.0,0.024471705475884422,0.024471705475884422
Croatia,4000,41.0,0.020293609419026117,0.020293609419026117
Uruguay,4000,41.0,0.020293609419026117,0.020293609419026117
Colombia,5000,51.0,0.016314470317256313,0.016314470317256313
United States,6600,67.0,0.01241847740567261,0.01241847740567261
Sweden,8000,81.0,0.010272073903457609,0.010272073903457609
Mexico,8000,81.0,0.010272073903457609,0.010272073903457609
Canada,10000,101.0,0.008237999863169006,0.008237999863169006
Switzerland,10000,101.0,0.008237999863169006,0.008237999863169006
Austria,12000,121.0,0.006876346993223606,0.006876346993223606
Turkey,15000,151.0,0.005510185338940805,0.005510185338940805
Ecuador,15000,151.0,0.005510185338940805,0.005510185338940805
Morocco,15000,151.0,0.005510185338940805,0.005510185338940805
Senegal,15000,151.0,0.005510185338940805,0.005510185338940805
Czech Republic,15000,151.0,0.005510185338940805,0.005510185338940805
Ivory Coast,20000,201.0,0.004139492468557503,0.004139492468557503
Japan,20000,201.0,0.004139492468557503,0.004139492468557503
Iran,20000,201.0,0.004139492468557503,0.004139492468557503
South Korea,25000,251.0,0.003314892375219303,0.003314892375219303
Algeria,30000,301.0,0.0027642458012626025,0.0027642458012626025
Australia,35000,351.0,0.0023704785931055023,0.0023704785931055023
Saudi Arabia,50000,501.0,0.0016607544634332015,0.0016607544634332015
Egypt,50000,501.0,0.0016607544634332015,0.0016607544634332015
Ghana,50000,501.0,0.0016607544634332015,0.0016607544634332015
South Africa,50000,501.0,0.0016607544634332015,0.0016607544634332015
Tunisia,50000,501.0,0.0016607544634332015,0.0016607544634332015
Bosnia and Herzegovina,50000,501.0,0.0016607544634332015,0.0016607544634332015
Paraguay,50000,501.0,0.0016607544634332015,0.0016607544634332015
Uzbekistan,75000,751.0,0.0011079067725433011,0.0011079067725433011
Iraq,75000,751.0,0.0011079067725433011,0.0011079067725433011
Jordan,75000,751.0,0.0011079067725433011,0.0011079067725433011
Qatar,75000,751.0,0.0011079067725433011,0.0011079067725433011
Cape Verde,100000,1001.0,0.0008312067794005008,0.0008312067794005008
DR Congo,100000,1001.0,0.0008312067794005008,0.0008312067794005008
Panama,100000,1001.0,0.0008312067794005008,0.0008312067794005008
Haiti,150000,1501.0,0.0005543224424917005,0.0005543224424917005
Curaçao,150000,1501.0,0.0005543224424917005,0.0005543224424917005
New Zealand,200000,2001.0,0.00041581108754620036,0.00041581108754620036
Scotland,200000,2001.0,0.00041581108754620036,0.00041581108754620036
