team,group
Algeria,A
Argentina,A
Austria,A
Jordan,A
Australia,B
Paraguay,B
Turkey,B
United States,B
Belgium,C
Egypt,C
Iran,C
New Zealand,C
Bosnia and Herzegovina,D
Canada,D
Qatar,D
Switzerland,D
Brazil,E
Haiti,E
Morocco,E
Scotland,E
Cape Verde,F
Saudi Arabia,F
Spain,F
Uruguay,F
Colombia,G
DR Congo,G
Portugal,G
Uzbekistan,G
Croatia,H
England,H
Ghana,H
Panama,H
Curaçao,I
Ecuador,I
Germany,I
Ivory Coast,I
Czech Republic,J
Mexico,J
South Africa,J
South Korea,J
France,K
Iraq,K
Norway,K
Senegal,K
Japan,L
Netherlands,L
Sweden,L
Tunisia,L
