date,home_team,away_team,country,neutral,home_confederation,away_confederation,host_confederation,is_home_country,is_away_country,is_home_confed,is_away_confed
1872-11-30,Scotland,England,Scotland,False,UEFA,UEFA,UEFA,True,False,True,True
1873-03-08,England,Scotland,England,False,UEFA,UEFA,UEFA,True,False,True,True
1874-03-07,Scotland,England,Scotland,False,UEFA,UEFA,UEFA,True,False,True,True
1875-03-06,England,Scotland,England,False,UEFA,UEFA,UEFA,True,False,True,True
1876-03-04,Scotland,England,Scotland,False,UEFA,UEFA,UEFA,True,False,True,True
1876-03-25,Scotland,Wales,Scotland,False,UEFA,UEFA,UEFA,True,False,True,True
1877-03-03,England,Scotland,England,False,UEFA,UEFA,UEFA,True,False,True,True
1877-03-05,Wales,Scotland,Wales,False,UEFA,UEFA,UEFA,True,False,True,True
1878-03-02,Scotland,England,Scotland,False,UEFA,UEFA,UEFA,True,False,True,True
1878-03-23,Scotland,Wales,Scotland,False,UEFA,UEFA,UEFA,True,False,True,True
1879-01-18,England,Wales,England,False,UEFA,UEFA,UEFA,True,False,True,True
1879-04-05,England,Scotland,England,False,UEFA,UEFA,UEFA,True,False,True,True
1879-04-07,Wales,Scotland,Wales,False,UEFA,UEFA,UEFA,True,False,True,True
1880-03-13,Scotland,England,Scotland,False,UEFA,UEFA,UEFA,True,False,True,True
1880-03-15,Wales,England,Wales,False,UEFA,UEFA,UEFA,True,False,True,True
1880-03-27,Scotland,Wales,Scotland,False,UEFA,UEFA,UEFA,True,False,True,True
1881-02-26,England,Wales,England,False,UEFA,UEFA,UEFA,True,False,True,True
1881-03-12,England,Scotland,England,False,UEFA,UEFA,UEFA,True,False,True,True
1881-03-14,Wales,Scotland,Wales,False,UEFA,UEFA,UEFA,True,False,True,True
1882-02-18,Northern Ireland,England,Ireland,False,UEFA,UEFA,UEFA,False,False,True,True
1882-02-25,Wales,Northern Ireland,Wales,False,UEFA,UEFA,UEFA,True,False,True,True
1882-03-11,Scotland,England,Scotland,False,UEFA,UEFA,UEFA,True,False,True,True
1882-03-13,Wales,England,Wales,False,UEFA,UEFA,UEFA,True,False,True,True
1882-03-25,Scotland,Wales,Scotland,False,UEFA,UEFA,UEFA,True,False,True,True
1883-02-03,England,Wales,England,False,UEFA,UEFA,UEFA,True,False,True,True
1883-02-24,England,Northern Ireland,England,False,UEFA,UEFA,UEFA,True,False,True,True
1883-03-10,England,Scotland,England,False,UEFA,UEFA,UEFA,True,False,True,True
1883-03-12,Wales,Scotland,Wales,False,UEFA,UEFA,UEFA,True,False,True,True
1883-03-17,Northern Ireland,Wales,Ireland,False,UEFA,UEFA,UEFA,False,False,True,True
1884-01-26,Northern Ireland,Scotland,Ireland,False,UEFA,UEFA,UEFA,False,False,True,True
1884-02-09,Wales,Northern Ireland,Wales,False,UEFA,UEFA,UEFA,True,False,True,True
1884-02-23,Northern Ireland,England,Ireland,False,UEFA,UEFA,UEFA,False,False,True,True
1884-03-15,Scotland,England,Scotland,False,UEFA,UEFA,UEFA,True,False,True,True
1884-03-17,Wales,England,Wales,False,UEFA,UEFA,UEFA,True,False,True,True
1884-03-29,Scotland,Wales,Scotland,False,UEFA,UEFA,UEFA,True,False,True,True
1885-02-28,England,Northern Ireland,England,False,UEFA,UEFA,UEFA,True,False,True,True
1885-03-14,England,Wales,England,False,UEFA,UEFA,UEFA,True,False,True,True
1885-03-14,Scotland,Northern Ireland,Scotland,False,UEFA,UEFA,UEFA,True,False,True,True
1885-03-21,England,Scotland,England,False,UEFA,UEFA,UEFA,True,False,True,True
1885-03-23,Wales,Scotland,Wales,False,UEFA,UEFA,UEFA,True,False,True,True
