team,avg_yellow_cards_per_match,avg_red_cards_per_match,fouls_per_match
Algeria,1.5,0.135,12.9
Argentina,1.68,0.056,10.6
Australia,1.25,0.127,12.4
Austria,1.77,0.042,13.9
Belgium,1.87,0.061,10.7
Bosnia and Herzegovina,1.35,0.07,12.1
Brazil,1.55,0.069,12.4
Canada,1.31,0.069,11.5
Cape Verde,1.56,0.119,10.8
Colombia,1.61,0.099,10.2
Croatia,1.69,0.057,10.3
Curaçao,1.96,0.137,13.2
Czech Republic,1.44,0.05,12.7
DR Congo,1.55,0.052,12.0
Ecuador,1.23,0.131,11.0
Egypt,1.73,0.071,12.1
England,1.64,0.058,13.9
France,1.82,0.134,13.6
Germany,1.68,0.132,10.4
Ghana,1.36,0.045,11.3
Haiti,1.51,0.067,13.3
Iran,1.49,0.068,12.2
Iraq,1.31,0.12,10.3
Ivory Coast,1.99,0.117,10.8
Japan,1.2,0.122,12.8
Jordan,1.78,0.117,10.3
Mexico,1.49,0.052,13.5
Morocco,1.7,0.073,10.3
Netherlands,1.45,0.073,12.9
New Zealand,1.71,0.129,11.9
Norway,1.3,0.111,13.0
Panama,1.65,0.117,12.0
Paraguay,1.62,0.083,10.1
Portugal,1.29,0.043,12.5
Qatar,1.45,0.091,13.6
Saudi Arabia,1.4,0.081,13.0
Scotland,1.38,0.048,11.2
Senegal,1.33,0.133,13.2
South Africa,1.71,0.127,13.2
South Korea,1.35,0.129,12.2
Spain,1.85,0.13,11.3
Sweden,1.29,0.063,11.7
Switzerland,1.85,0.126,10.0
Tunisia,1.61,0.082,10.9
Turkey,1.3,0.074,13.8
United States,1.46,0.092,12.8
Uruguay,1.49,0.137,13.8
Uzbekistan,1.4,0.09,11.2
