team,elo_rank,elo_rating,total_matches,win_rate,avg_goals_scored,avg_goals_conceded,recent_form_score,recent_form_points
Spain,1,2216.28,783,0.589,2.05,0.9,80.0,24
Argentina,2,2188.03,1069,0.554,1.9,1.01,83.3,25
France,3,2122.31,935,0.51,1.83,1.29,83.3,25
England,4,2088.22,1090,0.573,2.18,0.96,83.3,25
Brazil,5,2067.07,1059,0.635,2.18,0.9,63.3,19
Colombia,6,2062.07,638,0.404,1.29,1.15,73.3,22
Portugal,7,2043.59,695,0.502,1.77,1.12,76.7,23
Ecuador,8,2026.06,591,0.31,1.21,1.53,60.0,18
Netherlands,9,2008.12,879,0.515,2.09,1.22,70.0,21
Germany,10,2001.8,1031,0.581,2.25,1.16,90.0,27
Japan,11,1992.16,790,0.494,1.83,1.15,76.7,23
Morocco,12,1984.21,617,0.496,1.48,0.8,80.0,24
Mexico,13,1978.75,1003,0.512,1.76,1.05,70.0,21
Uruguay,14,1973.7,970,0.441,1.58,1.21,53.3,16
Norway,15,1969.03,872,0.376,1.55,1.62,70.0,21
Turkey,16,1966.93,642,0.403,1.4,1.41,83.3,25
Croatia,17,1966.92,396,0.528,1.74,1.01,73.3,22
Belgium,18,1954.39,853,0.448,1.82,1.51,80.0,24
Switzerland,19,1953.55,884,0.357,1.49,1.63,63.3,19
Denmark,20,1926.04,874,0.46,1.82,1.34,63.3,19
Italy,21,1925.89,893,0.534,1.75,0.98,83.3,25
Paraguay,22,1916.79,783,0.351,1.28,1.42,46.7,14
Senegal,23,1913.14,638,0.467,1.38,0.94,66.7,20
Australia,24,1900.1,581,0.509,2.01,1.07,53.3,16
Canada,25,1897.68,469,0.382,1.3,1.3,56.7,17
Iran,26,1895.96,612,0.57,1.89,0.79,56.7,17
Austria,27,1887.6,860,0.427,1.79,1.53,83.3,25
Algeria,28,1884.2,617,0.467,1.54,0.99,76.7,23
Nigeria,29,1882.12,661,0.47,1.52,1.0,63.3,19
South Korea,30,1879.95,1007,0.534,1.78,0.91,63.3,19
Yugoslavia,31,1871.13,483,0.462,1.95,1.57,46.7,14
Panama,32,1853.61,539,0.34,1.26,1.53,53.3,16
Scotland,33,1841.92,851,0.472,1.71,1.23,63.3,19
Ukraine,34,1838.95,338,0.45,1.41,1.06,53.3,16
Russia,35,1838.87,749,0.514,1.74,0.98,66.7,20
United States,36,1825.56,790,0.444,1.52,1.33,53.3,16
Venezuela,37,1822.19,460,0.254,1.05,1.86,33.3,10
Uzbekistan,38,1819.55,354,0.477,1.73,1.11,50.0,15
Ivory Coast,39,1814.62,636,0.511,1.64,1.0,73.3,22
Egypt,40,1810.1,756,0.501,1.62,1.01,60.0,18
Jersey,41,1803.26,235,0.651,2.74,1.21,83.3,25
Chile,42,1801.95,835,0.378,1.41,1.42,53.3,16
Czechoslovakia,43,1801.15,520,0.454,1.89,1.39,56.7,17
Greece,44,1800.68,633,0.379,1.25,1.39,30.0,9
Czech Republic,45,1799.54,360,0.531,1.79,1.02,63.3,19
Serbia,46,1799.4,348,0.445,1.53,1.1,40.0,12
Basque Country,47,1797.59,64,0.609,2.56,1.39,73.3,22
Jordan,48,1774.58,485,0.371,1.28,1.12,56.7,17
Peru,49,1770.29,714,0.324,1.2,1.4,20.0,6
Kosovo,50,1769.36,104,0.404,1.46,1.34,56.7,17
Poland,51,1768.48,892,0.43,1.68,1.35,60.0,18
Sweden,52,1768.22,1101,0.491,1.97,1.29,30.0,9
Hungary,53,1764.98,1006,0.469,2.0,1.47,60.0,18
DR Congo,54,1763.27,524,0.393,1.49,1.2,60.0,18
Republic of Ireland,55,1758.62,633,0.384,1.36,1.21,60.0,18
Guernsey,56,1744.77,240,0.604,2.57,1.3,60.0,18
Costa Rica,57,1744.56,724,0.436,1.71,1.19,26.7,8
Wales,58,1740.74,726,0.322,1.25,1.6,40.0,12
Tunisia,59,1737.82,678,0.437,1.44,1.02,43.3,13
Iraq,60,1737.26,655,0.464,1.53,0.93,56.7,17
Slovenia,61,1735.86,317,0.36,1.24,1.17,26.7,8
German DR,62,1730.18,298,0.47,1.7,1.21,73.3,22
Occitania,63,1724.2,33,0.576,3.12,1.15,80.0,24
Cameroon,64,1724.12,616,0.44,1.41,1.04,56.7,17
Slovakia,65,1722.47,367,0.406,1.41,1.25,63.3,19
New Zealand,66,1722.05,416,0.413,1.75,1.5,13.3,4
Northern Cyprus,67,1717.86,34,0.588,2.88,0.91,66.7,20
Bolivia,68,1715.79,534,0.223,1.02,1.97,23.3,7
Honduras,69,1710.65,620,0.398,1.47,1.29,36.7,11
Iraqi Kurdistan,70,1710.05,27,0.481,2.26,1.0,50.0,15
Isle of Man,71,1709.03,58,0.603,3.21,1.5,70.0,21
Georgia,72,1708.2,307,0.326,1.25,1.4,36.7,11
Mali,73,1707.93,569,0.408,1.31,1.1,46.7,14
Haiti,74,1706.83,510,0.424,1.64,1.35,50.0,15
Padania,75,1706.73,45,0.667,2.69,0.8,56.7,17
Israel,76,1698.42,498,0.363,1.51,1.48,56.7,17
Romania,77,1698.16,766,0.437,1.62,1.28,46.7,14
Saudi Arabia,78,1692.26,741,0.474,1.54,1.05,43.3,13
Albania,79,1671.22,398,0.276,0.95,1.48,50.0,15
United Arab Emirates,80,1664.41,612,0.402,1.42,1.24,40.0,12
South Africa,81,1663.11,480,0.448,1.35,0.95,56.7,17
Isle of Wight,82,1660.02,48,0.542,2.35,1.25,73.3,22
Northern Ireland,83,1659.89,707,0.262,1.05,1.83,43.3,13
Jamaica,84,1658.64,663,0.389,1.33,1.32,46.7,14
Catalonia,85,1654.42,48,0.396,1.56,1.75,63.3,19
Cape Verde,86,1653.28,235,0.379,1.1,1.13,53.3,16
Burkina Faso,87,1652.42,464,0.353,1.25,1.33,56.7,17
Bosnia and Herzegovina,88,1649.23,283,0.367,1.37,1.37,50.0,15
Guatemala,89,1647.1,554,0.359,1.4,1.38,26.7,8
North Macedonia,90,1647.0,306,0.31,1.19,1.35,26.7,8
Ynys Môn,91,1639.71,67,0.552,1.87,1.43,90.0,27
Abkhazia,92,1637.48,33,0.455,1.64,0.79,63.3,19
County of Nice,93,1628.52,9,0.667,2.11,1.44,70.4,19
Iceland,94,1627.15,522,0.305,1.21,1.68,20.0,6
Ghana,95,1625.02,671,0.463,1.57,1.04,36.7,11
Kárpátalja,96,1618.6,11,0.455,2.27,1.18,63.3,19
Curaçao,97,1606.04,385,0.371,1.65,1.58,50.0,15
New Caledonia,98,1603.28,265,0.513,2.63,1.39,66.7,20
Syria,99,1598.06,484,0.357,1.43,1.32,60.0,18
Finland,100,1597.03,818,0.264,1.17,2.05,33.3,10
Kernow,101,1595.0,12,0.583,2.67,1.58,76.7,23
Andalusia,102,1592.18,13,0.615,1.92,1.08,86.7,26
