date,home_team,away_team,world_cup_year,stage
1930-07-13,Belgium,United States,1930,Group Stage
1930-07-13,France,Mexico,1930,Group Stage
1930-07-14,Brazil,Yugoslavia,1930,Group Stage
1930-07-14,Peru,Romania,1930,Group Stage
1930-07-15,Argentina,France,1930,Group Stage
1930-07-16,Chile,Mexico,1930,Group Stage
1930-07-17,Bolivia,Yugoslavia,1930,Group Stage
1930-07-17,Paraguay,United States,1930,Group Stage
1930-07-18,Uruguay,Peru,1930,Group Stage
1930-07-19,Argentina,Mexico,1930,Group Stage
1930-07-19,Chile,France,1930,Group Stage
1930-07-20,Belgium,Paraguay,1930,Group Stage
1930-07-20,Bolivia,Brazil,1930,Group Stage
1930-07-21,Uruguay,Romania,1930,Group Stage
1930-07-22,Argentina,Chile,1930,Group Stage
1930-07-26,Argentina,United States,1930,Semi-finals
1930-07-27,Uruguay,Yugoslavia,1930,Semi-finals
1930-07-30,Uruguay,Argentina,1930,Final
1934-05-27,Argentina,Sweden,1934,Round of 16
1934-05-27,Austria,France,1934,Round of 16
1934-05-27,Belgium,Germany,1934,Round of 16
1934-05-27,Brazil,Spain,1934,Round of 16
1934-05-27,Czechoslovakia,Romania,1934,Round of 16
1934-05-27,Egypt,Hungary,1934,Round of 16
1934-05-27,Italy,United States,1934,Round of 16
1934-05-27,Netherlands,Switzerland,1934,Round of 16
1934-05-31,Italy,Spain,1934,Quarter-finals
1934-05-31,Germany,Sweden,1934,Quarter-finals
1934-05-31,Austria,Hungary,1934,Quarter-finals
1934-05-31,Czechoslovakia,Switzerland,1934,Quarter-finals
1934-06-01,Italy,Spain,1934,Quarter-finals
1934-06-03,Czechoslovakia,Germany,1934,Semi-finals
1934-06-03,Italy,Austria,1934,Semi-finals
1934-06-07,Austria,Germany,1934,Third-place play-off
1934-06-10,Italy,Czechoslovakia,1934,Final
1938-06-04,Germany,Switzerland,1938,Round of 16
1938-06-05,Brazil,Poland,1938,Round of 16
1938-06-05,Cuba,Romania,1938,Round of 16
1938-06-05,Czechoslovakia,Netherlands,1938,Round of 16
1938-06-05,France,Belgium,1938,Round of 16
1938-06-05,Hungary,Indonesia,1938,Round of 16
1938-06-05,Italy,Norway,1938,Round of 16
1938-06-09,Germany,Switzerland,1938,Round of 16
1938-06-09,Cuba,Romania,1938,Round of 16
1938-06-12,Brazil,Czechoslovakia,1938,Quarter-finals
1938-06-12,Cuba,Sweden,1938,Quarter-finals
1938-06-12,France,Italy,1938,Quarter-finals
1938-06-12,Hungary,Switzerland,1938,Quarter-finals
1938-06-14,Brazil,Czechoslovakia,1938,Quarter-finals
1938-06-16,Brazil,Italy,1938,Semi-finals
1938-06-16,Hungary,Sweden,1938,Semi-finals
1938-06-19,Brazil,Sweden,1938,Third-place play-off
1938-06-19,Hungary,Italy,1938,Final
1950-06-24,Brazil,Mexico,1950,First Group Stage
1950-06-25,Chile,England,1950,First Group Stage
1950-06-25,Italy,Sweden,1950,First Group Stage
1950-06-25,Spain,United States,1950,First Group Stage
1950-06-25,Switzerland,Yugoslavia,1950,First Group Stage
1950-06-28,Brazil,Switzerland,1950,First Group Stage
1950-06-28,Mexico,Yugoslavia,1950,First Group Stage
1950-06-29,Chile,Spain,1950,First Group Stage
1950-06-29,England,United States,1950,First Group Stage
1950-06-29,Paraguay,Sweden,1950,First Group Stage
1950-07-01,Brazil,Yugoslavia,1950,First Group Stage
1950-07-02,Bolivia,Uruguay,1950,First Group Stage
1950-07-02,Chile,United States,1950,First Group Stage
1950-07-02,England,Spain,1950,First Group Stage
1950-07-02,Italy,Paraguay,1950,First Group Stage
1950-07-02,Mexico,Switzerland,1950,First Group Stage
1950-07-09,Brazil,Sweden,1950,Final Round (Group Stage)
1950-07-09,Spain,Uruguay,1950,Final Round (Group Stage)
1950-07-13,Brazil,Spain,1950,Final Round (Group Stage)
1950-07-13,Sweden,Uruguay,1950,Final Round (Group Stage)
1950-07-16,Brazil,Uruguay,1950,Final Round (Group Stage)
1950-07-16,Spain,Sweden,1950,Final Round (Group Stage)
1954-06-16,Austria,Scotland,1954,Group Stage
1954-06-16,Brazil,Mexico,1954,Group Stage
1954-06-16,Czechoslovakia,Uruguay,1954,Group Stage
1954-06-16,France,Yugoslavia,1954,Group Stage
1954-06-17,Belgium,England,1954,Group Stage
1954-06-17,Germany,Turkey,1954,Group Stage
1954-06-17,Hungary,South Korea,1954,Group Stage
1954-06-17,Switzerland,Italy,1954,Group Stage
1954-06-19,Austria,Czechoslovakia,1954,Group Stage
1954-06-19,Brazil,Yugoslavia,1954,Group Stage
1954-06-19,France,Mexico,1954,Group Stage
1954-06-19,Scotland,Uruguay,1954,Group Stage
1954-06-20,Switzerland,England,1954,Group Stage
1954-06-20,South Korea,Turkey,1954,Group Stage
1954-06-20,Belgium,Italy,1954,Group Stage
1954-06-20,Germany,Hungary,1954,Group Stage
1954-06-23,Germany,Turkey,1954,Group Stage
1954-06-23,Switzerland,Italy,1954,Group Stage
1954-06-26,England,Uruguay,1954,Quarter-finals
1954-06-26,Switzerland,Austria,1954,Quarter-finals
1954-06-27,Brazil,Hungary,1954,Quarter-finals
1954-06-27,Germany,Yugoslavia,1954,Quarter-finals
1954-06-30,Austria,Germany,1954,Semi-finals
1954-06-30,Hungary,Uruguay,1954,Semi-finals
1954-07-03,Austria,Uruguay,1954,Third-place play-off
1954-07-04,Germany,Hungary,1954,Final
1958-06-08,Argentina,Germany,1958,Group Stage
1958-06-08,Austria,Brazil,1958,Group Stage
1958-06-08,Czechoslovakia,Northern Ireland,1958,Group Stage
1958-06-08,England,Russia,1958,Group Stage
1958-06-08,France,Paraguay,1958,Group Stage
1958-06-08,Hungary,Wales,1958,Group Stage
1958-06-08,Scotland,Yugoslavia,1958,Group Stage
1958-06-08,Sweden,Mexico,1958,Group Stage
1958-06-11,Paraguay,Scotland,1958,Group Stage
1958-06-11,Mexico,Wales,1958,Group Stage
1958-06-11,France,Yugoslavia,1958,Group Stage
1958-06-11,Austria,Russia,1958,Group Stage
1958-06-11,Brazil,England,1958,Group Stage
1958-06-11,Argentina,Northern Ireland,1958,Group Stage
1958-06-11,Czechoslovakia,Germany,1958,Group Stage
1958-06-12,Sweden,Hungary,1958,Group Stage
1958-06-15,Hungary,Mexico,1958,Group Stage
1958-06-15,Sweden,Wales,1958,Group Stage
1958-06-15,Paraguay,Yugoslavia,1958,Group Stage
1958-06-15,Germany,Northern Ireland,1958,Group Stage
1958-06-15,Austria,England,1958,Group Stage
1958-06-15,Brazil,Russia,1958,Group Stage
1958-06-15,Argentina,Czechoslovakia,1958,Group Stage
1958-06-15,France,Scotland,1958,Group Stage
1958-06-17,Czechoslovakia,Northern Ireland,1958,Group Stage
1958-06-17,England,Russia,1958,Group Stage
1958-06-17,Hungary,Wales,1958,Group Stage
1958-06-19,Brazil,Wales,1958,Quarter-finals
1958-06-19,France,Northern Ireland,1958,Quarter-finals
1958-06-19,Germany,Yugoslavia,1958,Quarter-finals
1958-06-19,Sweden,Russia,1958,Quarter-finals
1958-06-24,Brazil,France,1958,Semi-finals
1958-06-24,Sweden,Germany,1958,Semi-finals
1958-06-28,France,Germany,1958,Third-place play-off
1958-06-29,Sweden,Brazil,1958,Final
1962-05-30,Argentina,Bulgaria,1962,Group Stage
1962-05-30,Brazil,Mexico,1962,Group Stage
1962-05-30,Chile,Switzerland,1962,Group Stage
1962-05-30,Colombia,Uruguay,1962,Group Stage
1962-05-31,Czechoslovakia,Spain,1962,Group Stage
1962-05-31,England,Hungary,1962,Group Stage
1962-05-31,Germany,Italy,1962,Group Stage
1962-05-31,Russia,Yugoslavia,1962,Group Stage
1962-06-02,Argentina,England,1962,Group Stage
1962-06-02,Brazil,Czechoslovakia,1962,Group Stage
1962-06-02,Chile,Italy,1962,Group Stage
1962-06-02,Uruguay,Yugoslavia,1962,Group Stage
1962-06-03,Germany,Switzerland,1962,Group Stage
1962-06-03,Mexico,Spain,1962,Group Stage
1962-06-03,Bulgaria,Hungary,1962,Group Stage
1962-06-03,Colombia,Russia,1962,Group Stage
1962-06-06,Argentina,Hungary,1962,Group Stage
1962-06-06,Brazil,Spain,1962,Group Stage
1962-06-06,Chile,Germany,1962,Group Stage
1962-06-06,Russia,Uruguay,1962,Group Stage
1962-06-07,Italy,Switzerland,1962,Group Stage
1962-06-07,Czechoslovakia,Mexico,1962,Group Stage
1962-06-07,Bulgaria,England,1962,Group Stage
1962-06-07,Colombia,Yugoslavia,1962,Group Stage
1962-06-10,Brazil,England,1962,Quarter-finals
1962-06-10,Chile,Russia,1962,Quarter-finals
1962-06-10,Czechoslovakia,Hungary,1962,Quarter-finals
1962-06-10,Germany,Yugoslavia,1962,Quarter-finals
1962-06-13,Chile,Brazil,1962,Semi-finals
1962-06-13,Czechoslovakia,Yugoslavia,1962,Semi-finals
1962-06-16,Chile,Yugoslavia,1962,Third-place play-off
1962-06-17,Brazil,Czechoslovakia,1962,Final
1966-07-11,England,Uruguay,1966,Group Stage
1966-07-12,Brazil,Bulgaria,1966,Group Stage
1966-07-12,Germany,Switzerland,1966,Group Stage
1966-07-12,North Korea,Russia,1966,Group Stage
1966-07-13,Argentina,Spain,1966,Group Stage
1966-07-13,Chile,Italy,1966,Group Stage
1966-07-13,France,Mexico,1966,Group Stage
1966-07-13,Hungary,Portugal,1966,Group Stage
1966-07-15,Brazil,Hungary,1966,Group Stage
1966-07-15,Chile,North Korea,1966,Group Stage
1966-07-15,France,Uruguay,1966,Group Stage
1966-07-15,Spain,Switzerland,1966,Group Stage
1966-07-16,England,Mexico,1966,Group Stage
1966-07-16,Italy,Russia,1966,Group Stage
1966-07-16,Argentina,Germany,1966,Group Stage
1966-07-16,Bulgaria,Portugal,1966,Group Stage
1966-07-19,Argentina,Switzerland,1966,Group Stage
1966-07-19,Brazil,Portugal,1966,Group Stage
1966-07-19,Italy,North Korea,1966,Group Stage
1966-07-19,Mexico,Uruguay,1966,Group Stage
1966-07-20,Germany,Spain,1966,Group Stage
1966-07-20,England,France,1966,Group Stage
1966-07-20,Bulgaria,Hungary,1966,Group Stage
1966-07-20,Chile,Russia,1966,Group Stage
1966-07-23,England,Argentina,1966,Quarter-finals
1966-07-23,Germany,Uruguay,1966,Quarter-finals
1966-07-23,Hungary,Russia,1966,Quarter-finals
1966-07-23,North Korea,Portugal,1966,Quarter-finals
1966-07-25,Germany,Russia,1966,Semi-finals
1966-07-26,England,Portugal,1966,Semi-finals
1966-07-28,Portugal,Russia,1966,Third-place play-off
1966-07-30,England,Germany,1966,Final
