date,home_team,away_team,stadium,city,country,kickoff_time_local,timezone,group,is_placeholder_match,match_stage_status
2026-06-11,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,13:00,UTC-6,J,False,Predictable
2026-06-11,South Korea,Czech Republic,Estadio Akron,Zapopan,Mexico,16:00,UTC-6,J,False,Predictable
2026-06-12,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,19:00,UTC-4,D,False,Predictable
2026-06-12,United States,Paraguay,SoFi Stadium,Inglewood,United States,21:00,UTC-7,B,False,Predictable
2026-06-13,Qatar,Switzerland,Levi's Stadium,Santa Clara,United States,13:00,UTC-7,D,False,Predictable
2026-06-13,Brazil,Morocco,MetLife Stadium,East Rutherford,United States,16:00,UTC-4,E,False,Predictable
2026-06-13,Haiti,Scotland,Gillette Stadium,Foxborough,United States,19:00,UTC-4,E,False,Predictable
2026-06-13,Australia,Turkey,BC Place,Vancouver,Canada,21:00,UTC-7,B,False,Predictable
2026-06-14,Germany,Curaçao,NRG Stadium,Houston,United States,13:00,UTC-5,I,False,Predictable
2026-06-14,Ivory Coast,Ecuador,Lincoln Financial Field,Philadelphia,United States,16:00,UTC-4,I,False,Predictable
2026-06-14,Netherlands,Japan,AT&T Stadium,Arlington,United States,19:00,UTC-5,L,False,Predictable
2026-06-14,Sweden,Tunisia,Estadio BBVA,Guadalupe,Mexico,21:00,UTC-6,L,False,Predictable
2026-06-15,Belgium,Egypt,Lumen Field,Seattle,United States,13:00,UTC-7,C,False,Predictable
2026-06-15,Iran,New Zealand,SoFi Stadium,Inglewood,United States,16:00,UTC-7,C,False,Predictable
2026-06-15,Spain,Cape Verde,Mercedes-Benz Stadium,Atlanta,United States,19:00,UTC-4,F,False,Predictable
2026-06-15,Saudi Arabia,Uruguay,Hard Rock Stadium,Miami Gardens,United States,21:00,UTC-4,F,False,Predictable
2026-06-16,France,Senegal,MetLife Stadium,East Rutherford,United States,13:00,UTC-4,K,False,Predictable
2026-06-16,Iraq,Norway,Gillette Stadium,Foxborough,United States,16:00,UTC-4,K,False,Predictable
2026-06-16,Argentina,Algeria,GEHA Field at Arrowhead Stadium,Kansas City,United States,19:00,UTC-5,A,False,Predictable
2026-06-16,Austria,Jordan,Levi's Stadium,Santa Clara,United States,21:00,UTC-7,A,False,Predictable
2026-06-17,Portugal,DR Congo,NRG Stadium,Houston,United States,13:00,UTC-5,G,False,Predictable
2026-06-17,Uzbekistan,Colombia,Estadio Azteca,Mexico City,Mexico,16:00,UTC-6,G,False,Predictable
2026-06-17,England,Croatia,AT&T Stadium,Arlington,United States,19:00,UTC-5,H,False,Predictable
2026-06-17,Ghana,Panama,BMO Field,Toronto,Canada,21:00,UTC-4,H,False,Predictable
2026-06-18,Czech Republic,South Africa,Mercedes-Benz Stadium,Atlanta,United States,13:00,UTC-4,J,False,Predictable
2026-06-18,Mexico,South Korea,Estadio Akron,Zapopan,Mexico,16:00,UTC-6,J,False,Predictable
2026-06-18,Switzerland,Bosnia and Herzegovina,SoFi Stadium,Inglewood,United States,19:00,UTC-7,D,False,Predictable
2026-06-18,Canada,Qatar,BC Place,Vancouver,Canada,21:00,UTC-7,D,False,Predictable
2026-06-19,Scotland,Morocco,Gillette Stadium,Foxborough,United States,13:00,UTC-4,E,False,Predictable
2026-06-19,Brazil,Haiti,Lincoln Financial Field,Philadelphia,United States,16:00,UTC-4,E,False,Predictable
2026-06-19,United States,Australia,Lumen Field,Seattle,United States,19:00,UTC-7,B,False,Predictable
2026-06-19,Turkey,Paraguay,Levi's Stadium,Santa Clara,United States,21:00,UTC-7,B,False,Predictable
2026-06-20,Germany,Ivory Coast,BMO Field,Toronto,Canada,13:00,UTC-4,I,False,Predictable
2026-06-20,Ecuador,Curaçao,GEHA Field at Arrowhead Stadium,Kansas City,United States,16:00,UTC-5,I,False,Predictable
2026-06-20,Netherlands,Sweden,NRG Stadium,Houston,United States,19:00,UTC-5,L,False,Predictable
2026-06-20,Tunisia,Japan,Estadio BBVA,Guadalupe,Mexico,21:00,UTC-6,L,False,Predictable
2026-06-21,Belgium,Iran,SoFi Stadium,Inglewood,United States,13:00,UTC-7,C,False,Predictable
2026-06-21,New Zealand,Egypt,BC Place,Vancouver,Canada,16:00,UTC-7,C,False,Predictable
2026-06-21,Spain,Saudi Arabia,Mercedes-Benz Stadium,Atlanta,United States,19:00,UTC-4,F,False,Predictable
2026-06-21,Uruguay,Cape Verde,Hard Rock Stadium,Miami Gardens,United States,21:00,UTC-4,F,False,Predictable
2026-06-22,France,Iraq,Lincoln Financial Field,Philadelphia,United States,13:00,UTC-4,K,False,Predictable
2026-06-22,Norway,Senegal,MetLife Stadium,East Rutherford,United States,16:00,UTC-4,K,False,Predictable
2026-06-22,Argentina,Austria,AT&T Stadium,Arlington,United States,19:00,UTC-5,A,False,Predictable
2026-06-22,Jordan,Algeria,Levi's Stadium,Santa Clara,United States,21:00,UTC-7,A,False,Predictable
2026-06-23,Portugal,Uzbekistan,NRG Stadium,Houston,United States,13:00,UTC-5,G,False,Predictable
2026-06-23,Colombia,DR Congo,Estadio Akron,Zapopan,Mexico,16:00,UTC-6,G,False,Predictable
2026-06-23,England,Ghana,Gillette Stadium,Foxborough,United States,19:00,UTC-4,H,False,Predictable
2026-06-23,Panama,Croatia,BMO Field,Toronto,Canada,21:00,UTC-4,H,False,Predictable
2026-06-24,Mexico,Czech Republic,Estadio Azteca,Mexico City,Mexico,13:00,UTC-6,J,False,Predictable
2026-06-24,South Africa,South Korea,Estadio BBVA,Guadalupe,Mexico,16:00,UTC-6,J,False,Predictable
