match_id,match_date,competition,competition_stage,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds,num_bets_home,num_bets_draw,num_bets_away,odds_source,bookmaker,snapshot_type,source_match_url,official_result_url
2026-03-31_iraq_bolivia,2026-03-31,FIFA World Cup qualification,Qualifiers,Iraq,Bolivia,2.0,1.0,3.08,2.89,2.41,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2026-03-31_iraq_bolivia,2026-03-31,FIFA World Cup qualification,Qualifiers,Iraq,Bolivia,2.0,1.0,3.25,3.1,2.5,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2026-03-31_bosnia_and_herzegovina_italy,2026-03-31,FIFA World Cup qualification,Qualifiers,Bosnia and Herzegovina,Italy,1.0,1.0,6.86,4.19,1.47,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2026-03-31_bosnia_and_herzegovina_italy,2026-03-31,FIFA World Cup qualification,Qualifiers,Bosnia and Herzegovina,Italy,1.0,1.0,8.0,4.35,1.53,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2026-03-31_czech_republic_denmark,2026-03-31,FIFA World Cup qualification,Qualifiers,Czech Republic,Denmark,2.0,2.0,3.69,3.34,2.03,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2026-03-31_czech_republic_denmark,2026-03-31,FIFA World Cup qualification,Qualifiers,Czech Republic,Denmark,2.0,2.0,3.9,3.4,2.1,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2026-03-31_dr_congo_jamaica,2026-03-31,FIFA World Cup qualification,Qualifiers,DR Congo,Jamaica,1.0,0.0,1.6,3.26,6.18,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2026-03-31_dr_congo_jamaica,2026-03-31,FIFA World Cup qualification,Qualifiers,DR Congo,Jamaica,1.0,0.0,1.65,3.4,7.0,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2026-03-31_kosovo_turkey,2026-03-31,FIFA World Cup qualification,Qualifiers,Kosovo,Turkey,0.0,1.0,3.76,3.46,1.95,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2026-03-31_kosovo_turkey,2026-03-31,FIFA World Cup qualification,Qualifiers,Kosovo,Turkey,0.0,1.0,3.9,3.6,2.0,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
