team,squad_value_eur_m,source
Algeria,256.9,Transfermarkt (June 2026)
Argentina,807.5,Transfermarkt (June 2026)
Australia,77.45,Transfermarkt (June 2026)
Austria,245.2,Transfermarkt (June 2026)
Belgium,547.5,Transfermarkt (June 2026)
Bosnia and Herzegovina,149.0,Transfermarkt (June 2026)
Brazil,928.2,Transfermarkt (June 2026)
Canada,198.65,Transfermarkt (June 2026)
Cape Verde,54.5,Transfermarkt (June 2026)
Colombia,302.35,Transfermarkt (June 2026)
Croatia,387.3,Transfermarkt (June 2026)
Curaçao,25.78,Transfermarkt (June 2026)
Czech Republic,188.18,Transfermarkt (June 2026)
DR Congo,143.9,Transfermarkt (June 2026)
Ecuador,368.7,Transfermarkt (June 2026)
Egypt,116.48,Transfermarkt (June 2026)
England,1360.0,Transfermarkt (June 2026)
France,1520.0,Transfermarkt (June 2026)
Germany,947.0,Transfermarkt (June 2026)
Ghana,234.5,Transfermarkt (June 2026)
Haiti,55.9,Transfermarkt (June 2026)
Iran,32.05,Transfermarkt (June 2026)
Iraq,21.2,Transfermarkt (June 2026)
Ivory Coast,522.1,Transfermarkt (June 2026)
Japan,270.85,Transfermarkt (June 2026)
Jordan,20.15,Transfermarkt (June 2026)
Mexico,191.85,Transfermarkt (June 2026)
Morocco,447.7,Transfermarkt (June 2026)
Netherlands,754.2,Transfermarkt (June 2026)
New Zealand,34.35,Transfermarkt (June 2026)
Norway,589.9,Transfermarkt (June 2026)
Panama,31.35,Transfermarkt (June 2026)
Paraguay,153.65,Transfermarkt (June 2026)
Portugal,1010.0,Transfermarkt (June 2026)
Qatar,17.0,Transfermarkt (June 2026)
Saudi Arabia,40.68,Transfermarkt (June 2026)
Scotland,170.25,Transfermarkt (June 2026)
Senegal,478.1,Transfermarkt (June 2026)
South Africa,49.25,Transfermarkt (June 2026)
South Korea,139.05,Transfermarkt (June 2026)
Spain,1220.0,Transfermarkt (June 2026)
Sweden,406.08,Transfermarkt (June 2026)
Switzerland,332.5,Transfermarkt (June 2026)
Tunisia,69.95,Transfermarkt (June 2026)
Turkey,473.7,Transfermarkt (June 2026)
United States,385.65,Transfermarkt (June 2026)
Uruguay,359.3,Transfermarkt (June 2026)
Uzbekistan,85.33,Transfermarkt (June 2026)
