player_name,team,market_value_eur_m,position,club,source
Rayan Aït-Nouri,Algeria,35.0,Defender,Wolverhampton Wanderers,Transfermarkt (June 2026)
Lautaro Martínez,Argentina,110.0,Forward,Inter Milan,Transfermarkt (June 2026)
Alessandro Circati,Australia,15.0,Defender,Parma,Transfermarkt (June 2026)
Konrad Laimer,Austria,30.0,Midfielder,Bayern Munich,Transfermarkt (June 2026)
Jérémy Doku,Belgium,65.0,Forward,Manchester City,Transfermarkt (June 2026)
Amar Dedić,Bosnia and Herzegovina,20.0,Defender,Red Bull Salzburg,Transfermarkt (June 2026)
Vinicius Junior,Brazil,180.0,Forward,Real Madrid,Transfermarkt (June 2026)
Alphonso Davies,Canada,50.0,Defender,Bayern Munich,Transfermarkt (June 2026)
Logan Costa,Cape Verde,15.0,Defender,Villarreal,Transfermarkt (June 2026)
Luis Díaz,Colombia,75.0,Forward,Liverpool,Transfermarkt (June 2026)
Joško Gvardiol,Croatia,75.0,Defender,Manchester City,Transfermarkt (June 2026)
Juninho Bacuna,Curaçao,3.0,Midfielder,Birmingham City,Transfermarkt (June 2026)
Tomáš Souček,Czech Republic,35.0,Midfielder,West Ham United,Transfermarkt (June 2026)
Yoane Wissa,DR Congo,25.0,Forward,Brentford,Transfermarkt (June 2026)
Moisés Caicedo,Ecuador,100.0,Midfielder,Chelsea,Transfermarkt (June 2026)
Mohamed Salah,Egypt,55.0,Forward,Liverpool,Transfermarkt (June 2026)
Jude Bellingham,England,180.0,Midfielder,Real Madrid,Transfermarkt (June 2026)
Kylian Mbappé,France,180.0,Forward,Real Madrid,Transfermarkt (June 2026)
Florian Wirtz,Germany,130.0,Midfielder,Bayer Leverkusen,Transfermarkt (June 2026)
Mohammed Kudus,Ghana,50.0,Midfielder,West Ham United,Transfermarkt (June 2026)
Frantzdy Pierrot,Haiti,3.5,Forward,AEK Athens,Transfermarkt (June 2026)
Mehdi Taremi,Iran,10.0,Forward,Inter Milan,Transfermarkt (June 2026)
Ali Al-Hamadi,Iraq,4.0,Forward,Ipswich Town,Transfermarkt (June 2026)
Ousmane Diomande,Ivory Coast,40.0,Defender,Sporting CP,Transfermarkt (June 2026)
Takefusa Kubo,Japan,20.0,Forward,Real Sociedad,Transfermarkt (June 2026)
Mousa Al-Tamari,Jordan,8.0,Forward,Montpellier,Transfermarkt (June 2026)
Santiago Giménez,Mexico,40.0,Forward,Feyenoord,Transfermarkt (June 2026)
Achraf Hakimi,Morocco,60.0,Defender,Paris Saint-Germain,Transfermarkt (June 2026)
Xavi Simons,Netherlands,80.0,Midfielder,RB Leipzig,Transfermarkt (June 2026)
Chris Wood,New Zealand,7.0,Forward,Nottingham Forest,Transfermarkt (June 2026)
Erling Haaland,Norway,200.0,Forward,Manchester City,Transfermarkt (June 2026)
Adalberto Carrasquilla,Panama,4.0,Midfielder,Houston Dynamo,Transfermarkt (June 2026)
Julio Enciso,Paraguay,22.0,Forward,Brighton & Hove Albion,Transfermarkt (June 2026)
Rafael Leão,Portugal,90.0,Forward,AC Milan,Transfermarkt (June 2026)
Akram Afif,Qatar,6.0,Forward,Al-Sadd,Transfermarkt (June 2026)
Firas Al-Buraikan,Saudi Arabia,6.0,Forward,Al-Ahli,Transfermarkt (June 2026)
Scott McTominay,Scotland,32.0,Midfielder,Napoli,Transfermarkt (June 2026)
Nicolas Jackson,Senegal,35.0,Forward,Chelsea,Transfermarkt (June 2026)
Teboho Mokoena,South Africa,4.0,Midfielder,Mamelodi Sundowns,Transfermarkt (June 2026)
Son Heung-min,South Korea,45.0,Forward,Tottenham Hotspur,Transfermarkt (June 2026)
Lamine Yamal,Spain,200.0,Forward,FC Barcelona,Transfermarkt (June 2026)
Alexander Isak,Sweden,75.0,Forward,Newcastle United,Transfermarkt (June 2026)
Manuel Akanji,Switzerland,45.0,Defender,Manchester City,Transfermarkt (June 2026)
Elias Achouri,Tunisia,10.0,Forward,FC Copenhagen,Transfermarkt (June 2026)
Arda Güler,Turkey,45.0,Midfielder,Real Madrid,Transfermarkt (June 2026)
Christian Pulisic,United States,40.0,Forward,AC Milan,Transfermarkt (June 2026)
Federico Valverde,Uruguay,120.0,Midfielder,Real Madrid,Transfermarkt (June 2026)
Abbosbek Fayzullaev,Uzbekistan,6.0,Midfielder,CSKA Moscow,Transfermarkt (June 2026)
